student,bear_diff
1,0.49
2,0.31
3,0.44
4,0.07
5,0.33
6,0.15
7,0.31
8,0.38
9,0.48
10,0.54
11,0.54
12,0.61
13,0.27
14,0.07
15,0.27
16,0.45
17,0.0
18,0.28
19,0.35
20,0.33
21,0.33
22,0.36
23,0.29
24,0.34
25,0.3
26,0.31
27,0.3
28,0.31
29,0.36
30,0.35
31,0.35
32,0.34
33,0.35
34,0.34
35,0.33
36,0.35
37,0.35
38,0.33
39,0.34
40,0.32
41,0.3
42,0.36
43,0.28
44,0.31
45,0.32
46,0.31
47,0.34
48,0.33
49,0.33
50,0.33
51,0.39
52,0.29
53,0.24
54,0.31
55,0.37
56,0.34
57,0.33
58,0.34
59,0.36
60,0.34
61,0.46
62,0.65
63,0.0
64,0.22
65,0.0
66,0.49
67,0.51
68,0.51
69,0.59
70,0.54
71,0.3
72,0.68
73,0.55
74,0.61
75,0.55
76,0.42
77,0.38
78,0.57
79,0.52
80,0.51
81,0.56
82,0.59
83,0.61
84,0.47
85,0.24
86,0.54
87,0.48
88,0.44
89,0.6
90,0.42
91,0.66
92,0.38
93,0.52
94,0.37
95,0.6
96,0.62
97,0.57
98,0.55
99,0.58
100,0.38
101,0.46
102,0.4
103,0.57
104,0.34
105,0.63
106,0.44
107,0.52
108,0.56
109,0.59
110,0.4
111,0.45
112,0.34
113,0.44
114,0.23
115,0.14
116,0.34
117,0.35
118,0.39
119,0.35
120,0.36
121,0.29
122,0.31
123,0.35
124,0.34
125,0.34
126,0.33
127,0.32
128,0.35
129,0.56
130,0.36
131,0.31
132,0.37
133,0.31
134,0.33
135,0.35
136,0.42
137,0.24
138,0.24
139,0.39
140,0.0
141,0.09
142,0.3
143,0.29
144,0.39
145,0.46
146,0.0
147,0.36
148,0.34
149,0.33
150,0.2
151,0.29
152,0.4
153,0.35
154,0.32
155,0.32
156,0.36
157,0.32
158,0.25
159,0.29
160,0.51
161,0.41
162,0.38
163,0.25
164,0.19
165,0.53
166,0.31
167,0.38
168,0.35
169,0.09
170,0.42
171,0.17
172,0.4
173,0.26
174,0.68
175,0.32
176,0.25
177,0.49
178,0.33
179,0.22
180,0.08
181,0.2
182,0.47
183,0.42
184,0.0
185,0.43
186,0.38
187,0.35
188,0.32
189,0.4
190,0.74
191,0.37
192,0.37
193,0.43
194,0.37
195,0.39
196,0.3
197,0.32
198,0.36
199,0.38
200,0.4
201,0.36
202,0.33
203,0.28
204,0.55
205,0.57
206,0.3
207,0.24
208,0.32
209,0.3
210,0.36
211,0.32
212,0.25
213,0.33
214,0.31
215,0.31
216,0.29
217,0.28
218,0.31
219,0.35
220,0.24
221,0.3
222,0.17
223,0.31
224,0.37
225,0.25
226,0.33
227,0.22
228,0.31
229,0.25
230,0.23
231,0.34
232,0.3
233,0.26
234,0.28
235,0.29
236,0.26
237,0.28
238,0.25
239,0.33
240,0.25
241,0.27
242,0.31
243,0.22
244,0.38
245,0.61
246,0.37
247,0.36
248,0.44
249,0.42
250,0.46
251,0.36
252,0.41
253,0.35
254,0.42
255,0.43
256,0.53
257,0.34
258,0.4
259,0.4
260,0.32
261,0.45
262,0.29
263,0.0
264,0.34
265,0.41
266,0.4
267,0.37
268,0.35
269,0.46
270,0.42
271,0.39
272,0.37
273,0.42
274,0.39
275,0.11
276,0.41
277,0.38
278,0.0
279,0.44
280,0.44
281,0.42
282,0.15
283,0.32
284,0.33
285,0.33
286,0.32
287,0.36
288,0.32
289,0.32
290,0.27
291,0.34
292,0.29
293,0.29
294,0.36
295,0.3
296,0.33
297,0.31
298,0.21
299,0.36
300,0.37
301,0.35
302,0.27
303,0.34
304,0.14
305,0.41
306,0.4
307,0.36
308,0.46
309,0.43
310,0.42
311,0.34
312,0.35
313,0.38
314,0.16
315,0.42
316,0.29
317,0.45
318,0.39
319,0.41
320,0.37
321,0.39
322,0.1
323,0.11
324,0.06
325,0.1
326,0.17
327,0.15
328,0.09
329,0.13
330,0.12
331,0.13
332,0.13
333,0.16
334,0.0
335,0.08
336,0.36
337,0.1
338,0.12
339,0.14
340,0.19
341,0.28
342,0.26
343,0.35
344,0.37
345,0.3
346,0.35
347,0.27
348,0.33
349,0.3
350,0.32
351,0.36
352,0.3
353,0.34
354,0.33
355,0.3
356,0.34
357,0.3
358,0.35
359,0.34
360,0.31
361,0.31
362,0.28
363,0.05
364,0.13
365,0.16
366,0.14
367,0.24
368,0.1
369,0.19
370,0.1
371,0.14
372,0.13
373,0.14
374,0.31
375,0.28
376,0.13
377,0.33
378,0.32
379,0.3
380,0.0
381,0.36
382,0.31
383,0.26
384,0.24
385,0.33
386,0.34
387,0.32
388,0.31
389,0.3
390,0.32
391,0.34
392,0.4
393,0.32
394,0.33
395,0.35
396,0.32
397,0.35
398,0.36
399,0.35
400,0.34
401,0.16
402,0.18
