exercise,exercise_diff
1,0.79
2,0.81
3,0.83
4,0.82
5,0.87
6,0.78
7,0.86
8,0.84
9,0.6
10,0.74
11,0.69
12,0.78
13,0.42
14,0.78
15,0.55
16,0.62
17,0.4
18,0.27
19,0.17
20,0.72
21,0.67
22,0.68
23,0.61
24,0.62
25,0.72
26,0.63
27,0.12
28,0.26
29,0.06
30,0.14
31,0.07
32,0.25
33,0.12
34,0.5
35,0.0
36,0.08
37,0.23
38,0.3
39,0.42
40,0.4
41,0.55
42,0.51
43,0.62
44,0.29
45,0.52
46,0.0
47,0.0
48,0.0
49,0.0
50,0.13
51,0.0
52,0.07
53,0.16
54,0.5
55,0.61
56,0.67
57,0.59
58,0.55
59,0.56
60,0.54
61,0.52
62,0.63
63,0.72
64,0.79
65,0.54
66,0.72
67,0.51
68,0.66
69,0.5
70,0.5
71,0.16
72,0.11
73,0.11
74,0.0
75,0.5
76,0.45
77,0.36
78,0.17
79,0.2
80,0.0
81,0.14
82,0.0
83,1.0
84,0.88
85,0.5
86,0.7
87,0.75
88,0.2
89,0.43
90,1.0
91,0.14
92,0.09
93,0.33
94,0.25
95,0.0
96,0.25
97,0.2
98,0.0
99,0.25
100,0.19
101,0.0
102,0.24
103,0.81
104,0.5
105,0.37
106,0.45
107,0.08
108,0.33
109,0.45
110,0.44
111,0.18
112,0.18
113,0.21
114,0.76
115,0.57
116,0.51
117,0.44
118,0.52
119,0.72
120,0.23
121,0.57
122,0.5
123,0.21
124,0.75
125,0.12
126,0.09
127,0.16
128,0.11
129,0.21
130,0.14
131,0.16
132,0.11
133,0.18
134,0.0
135,0.24
136,0.0
137,0.77
138,0.81
139,0.8
140,0.83
141,0.78
142,0.77
143,0.71
144,0.29
145,0.25
146,0.24
147,0.23
148,0.25
149,0.61
150,0.63
151,0.65
152,0.15
153,0.21
154,0.23
155,0.17
156,0.19
157,0.39
158,0.38
159,0.29
160,0.29
161,0.68
162,0.64
163,0.6
164,0.49
165,0.27
166,0.43
167,0.35
168,0.51
169,0.19
170,0.18
171,0.27
172,0.29
173,0.57
174,0.25
175,0.36
176,0.24
177,0.54
178,0.34
179,0.66
180,0.65
181,0.33
182,0.2
183,0.17
184,0.21
185,0.03
186,0.08
187,0.37
188,0.28
189,0.49
190,0.18
191,0.5
192,0.38
193,0.29
194,0.38
195,0.71
196,0.22
197,0.19
198,1.0
199,0.1
200,0.23
201,0.48
202,0.52
203,0.36
204,0.23
205,0.5
206,0.62
207,0.28
208,0.41
209,0.58
210,0.15
211,0.15
212,0.33
213,0.14
214,0.17
215,0.92
216,0.0
217,0.35
218,0.37
219,0.33
220,0.3
221,0.28
222,0.34
223,0.6
224,0.4
225,0.42
226,0.38
227,0.45
228,0.3
229,0.42
230,0.58
231,0.44
232,0.46
233,0.47
234,0.47
235,0.49
236,0.26
237,0.0
238,0.5
239,0.17
240,0.17
241,0.9
242,0.19
243,0.18
244,0.38
245,0.14
246,0.27
247,0.06
248,0.26
249,0.23
250,0.42
251,0.22
252,0.35
253,0.13
254,0.24
255,0.31
256,0.51
257,0.36
258,0.46
259,0.36
260,0.22
261,0.39
262,0.48
263,0.87
264,0.4
265,0.55
266,0.75
267,0.67
268,0.13
269,0.67
270,0.37
271,0.13
272,0.4
273,0.41
274,0.41
275,0.39
276,0.52
277,0.4
278,0.61
279,0.11
280,0.89
281,0.47
282,0.31
283,0.17
284,0.67
285,0.56
286,0.45
287,0.45
288,0.47
289,0.42
290,0.43
291,0.57
292,0.71
293,0.36
294,0.41
295,0.62
296,0.4
297,0.4
298,0.6
299,0.47
300,0.31
301,0.48
302,0.51
303,0.43
304,0.4
305,0.36
306,0.34
307,0.0
308,0.36
309,0.33
310,0.49
311,0.67
312,0.25
313,0.0
314,0.0
315,0.0
316,0.52
317,0.0
318,0.16
319,0.0
320,0.38
321,0.27
322,0.52
323,0.0
324,0.06
325,0.0
326,0.41
327,0.49
328,0.0
329,0.0
330,0.0
331,0.36
332,0.31
333,0.6
334,0.83
335,0.4
336,0.14
337,0.0
338,0.17
339,0.5
340,0.8
341,0.33
342,0.12
343,0.62
344,0.56
345,0.67
346,0.75
347,0.69
348,0.91
349,0.81
350,0.86
351,0.83
352,0.87
353,0.7
354,0.77
355,0.63
356,0.75
357,0.75
358,0.27
359,0.34
360,0.29
361,0.8
362,0.69
363,0.58
364,0.22
365,0.29
366,0.55
367,0.81
368,0.68
369,0.62
370,0.61
371,0.68
372,0.73
373,0.56
374,0.5
375,0.61
376,0.59
377,0.68
378,0.53
379,0.0
380,0.2
381,0.2
382,0.28
383,0.17
384,0.71
385,0.69
386,0.71
387,0.73
388,0.69
389,0.65
390,0.62
391,0.67
392,0.0
393,0.11
394,0.77
395,0.68
396,0.74
397,0.83
398,0.76
399,0.74
400,0.73
401,0.82
402,0.75
403,0.63
404,0.48
405,0.8
406,0.6
407,0.29
408,0.33
409,0.02
410,0.21
411,0.08
412,0.05
413,0.13
414,0.5
415,0.33
416,0.06
417,0.0
418,0.06
419,0.2
420,0.67
421,0.71
422,1.0
423,0.23
424,0.48
425,0.67
426,0.25
427,0.57
428,0.3
429,0.55
430,0.37
431,0.71
432,0.37
