student,weak_knowledge
1,"[5, 10, 12, 13, 14, 24, 25, 26, 30, 31, 32, 34, 42, 44, 45, 48, 50, 52, 53, 54, 59, 60, 61, 62, 64, 65, 67, 68, 69, 70, 71, 72, 74, 75, 76, 77, 79, 80, 83, 84, 85, 88, 89, 90, 92, 93, 94, 95, 99, 100]"
2,"[1, 3, 5, 6, 8, 9, 10, 11, 13, 16, 17, 18, 19, 20, 26, 31, 32, 33, 34, 35, 37, 40, 41, 46, 48, 49, 50, 51, 52, 53, 58, 59, 60, 62, 66, 67, 68, 70, 71, 72, 73, 76, 78, 80, 81, 82, 83, 84, 85, 87, 89, 90, 91, 92, 93, 94, 96, 97, 98, 99, 100, 101]"
3,"[1, 4, 6, 7, 8, 9, 13, 14, 15, 16, 17, 19, 20, 21, 23, 24, 26, 27, 28, 29, 30, 32, 33, 34, 35, 36, 37, 38, 40, 42, 43, 44, 45, 46, 47, 48, 51, 52, 54, 55, 57, 58, 59, 60, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 74, 75, 77, 79, 80, 81, 82, 86, 88, 89, 90, 91, 92, 94, 95, 97, 98, 99, 100, 101]"
4,"[2, 6, 12, 13, 14, 16, 17, 18, 19, 20, 22, 23, 26, 28, 30, 31, 34, 36, 38, 39, 42, 45, 46, 48, 50, 52, 56, 57, 58, 60, 62, 63, 65, 66, 67, 68, 72, 76, 77, 78, 79, 81, 84, 86, 87, 88, 89, 90, 92, 93, 95, 96, 97, 98, 99, 100]"
5,"[14, 16, 17, 18, 19, 20, 21, 22, 25, 28, 30, 31, 32, 34, 36, 37, 39, 46, 47, 49, 54, 56, 57, 64, 66, 67, 68, 71, 74, 75, 76, 78, 79, 81, 82, 84, 85, 87, 88, 89, 90, 94, 96, 97, 98]"
6,"[6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 31, 34, 36, 41, 42, 44, 45, 47, 48, 49, 50, 52, 55, 57, 59, 60, 63, 64, 65, 66, 67, 68, 69, 71, 72, 74, 75, 76, 77, 78, 80, 81, 83, 84, 85, 86, 87, 90, 93, 94, 95, 97, 99]"
7,"[2, 3, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 18, 19, 21, 22, 23, 24, 25, 26, 27, 30, 31, 33, 34, 36, 37, 38, 39, 42, 43, 46, 47, 48, 49, 54, 55, 56, 57, 58, 59, 60, 62, 63, 64, 65, 66, 69, 70, 72, 74, 75, 76, 77, 78, 79, 80, 83, 84, 85, 87, 88, 89, 90, 91, 92, 93, 94, 95, 97, 98, 99, 101]"
8,"[2, 5, 9, 12, 13, 15, 16, 17, 19, 20, 21, 22, 23, 25, 26, 32, 34, 36, 38, 41, 44, 45, 47, 48, 49, 50, 53, 55, 57, 60, 61, 62, 63, 65, 67, 69, 70, 71, 73, 74, 75, 76, 80, 81, 83, 85, 88, 89, 90, 91, 92, 93, 95, 97, 98, 100, 101]"
9,"[2, 4, 7, 13, 17, 21, 23, 25, 26, 30, 31, 32, 33, 34, 36, 37, 38, 39, 44, 46, 49, 50, 53, 60, 62, 71, 74, 75, 76, 78, 80, 82, 83, 85, 88, 89, 90, 91, 92, 94, 96, 98, 99, 100, 101]"
10,"[1, 3, 4, 5, 6, 7, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21, 22, 23, 24, 25, 26, 29, 30, 31, 34, 35, 36, 37, 39, 40, 42, 44, 46, 49, 50, 51, 52, 53, 54, 57, 58, 59, 60, 61, 63, 64, 67, 68, 69, 70, 71, 72, 74, 75, 76, 77, 78, 80, 81, 82, 84, 85, 86, 90, 91, 92, 93, 94, 95, 97, 98, 99, 100, 101]"
11,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 39, 40, 41, 43, 46, 47, 48, 49, 50, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 68, 69, 71, 72, 73, 74, 77, 78, 79, 81, 82, 83, 84, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 101]"
12,"[6, 13, 14, 16, 17, 18, 19, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 32, 35, 36, 39, 40, 41, 42, 43, 44, 45, 49, 50, 53, 54, 55, 56, 59, 61, 62, 63, 65, 71, 72, 74, 75, 76, 77, 78, 83, 84, 86, 88, 89, 90, 91, 92, 94, 96, 97, 99, 100, 101]"
13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 24, 25, 27, 29, 32, 33, 34, 35, 36, 37, 38, 43, 44, 45, 47, 48, 49, 50, 51, 52, 53, 55, 57, 58, 59, 60, 61, 63, 64, 65, 66, 68, 69, 70, 73, 74, 75, 77, 78, 79, 80, 81, 82, 83, 85, 86, 87, 88, 90, 92, 93, 94, 95, 97, 98, 100, 101]"
14,"[1, 4, 5, 6, 7, 9, 10, 11, 12, 13, 15, 17, 18, 19, 20, 21, 23, 25, 26, 27, 28, 30, 33, 34, 35, 36, 38, 39, 40, 42, 43, 44, 46, 47, 48, 49, 50, 51, 52, 54, 56, 57, 60, 62, 63, 64, 67, 68, 69, 70, 72, 76, 78, 80, 81, 82, 83, 85, 87, 88, 89, 91, 93, 95, 96, 97, 98, 99, 101]"
15,"[4, 7, 9, 17, 18, 19, 20, 21, 22, 23, 26, 31, 40, 43, 48, 55, 56, 65, 74, 76, 78, 79, 80, 82, 84, 85, 86, 88, 89, 91, 92, 96, 97, 98, 99, 100, 101]"
16,"[6, 7, 8, 9, 10, 11, 12, 16, 17, 18, 19, 21, 22, 23, 27, 28, 29, 30, 33, 35, 37, 38, 39, 40, 41, 42, 44, 46, 48, 49, 50, 55, 56, 57, 58, 60, 62, 63, 64, 65, 66, 68, 69, 71, 73, 74, 76, 78, 79, 80, 81, 83, 85, 86, 88, 89, 91, 92, 96, 98, 99, 100]"
17,"[4, 5, 6, 7, 9, 10, 11, 13, 14, 15, 16, 17, 19, 20, 21, 24, 26, 27, 28, 29, 31, 32, 35, 36, 37, 41, 42, 46, 47, 49, 50, 52, 53, 56, 57, 58, 59, 60, 61, 62, 65, 67, 70, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 90, 91, 92, 93, 94, 95, 96, 97, 99, 100]"
18,"[1, 4, 5, 6, 8, 9, 10, 14, 15, 16, 18, 19, 21, 23, 24, 25, 27, 28, 29, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 42, 46, 47, 48, 50, 51, 54, 55, 56, 58, 59, 60, 61, 63, 64, 65, 67, 68, 69, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 82, 83, 85, 86, 87, 88, 89, 93, 94, 95, 97, 98, 99, 101]"
19,"[4, 9, 12, 13, 16, 18, 19, 21, 22, 23, 29, 37, 41, 43, 44, 46, 48, 49, 52, 56, 63, 69, 71, 78, 79, 80, 82, 83, 84, 85, 86, 87, 89, 93, 94, 95, 97, 99, 100, 101]"
20,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 23, 24, 25, 27, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 54, 55, 57, 58, 59, 60, 61, 62, 63, 65, 66, 68, 69, 70, 72, 73, 74, 75, 78, 80, 81, 82, 83, 84, 86, 87, 88, 89, 90, 91, 92, 93, 94, 96, 98, 99, 100, 101]"
21,"[2, 4, 6, 7, 9, 10, 11, 13, 14, 16, 18, 19, 20, 21, 22, 23, 24, 25, 28, 30, 32, 33, 34, 35, 39, 41, 42, 44, 45, 46, 47, 51, 52, 61, 65, 66, 67, 69, 70, 71, 72, 73, 76, 77, 78, 80, 82, 83, 84, 86, 87, 88, 89, 93, 95, 98, 99, 100, 101]"
22,"[4, 7, 10, 12, 13, 14, 16, 17, 18, 19, 20, 21, 23, 25, 27, 29, 32, 38, 39, 41, 43, 46, 48, 49, 52, 54, 56, 57, 59, 60, 61, 62, 65, 67, 68, 71, 72, 73, 74, 76, 78, 79, 80, 82, 84, 86, 89, 90, 91, 92, 94, 95, 96, 97, 98, 101]"
23,"[1, 8, 13, 15, 16, 17, 18, 19, 21, 22, 24, 26, 30, 31, 36, 42, 46, 51, 52, 55, 61, 65, 67, 68, 70, 73, 74, 75, 76, 77, 78, 80, 81, 82, 84, 85, 86, 88, 89, 90, 91, 93, 94, 96, 97, 99, 100]"
24,"[7, 9, 10, 13, 16, 18, 19, 20, 22, 23, 25, 26, 29, 32, 33, 35, 38, 41, 42, 46, 49, 52, 53, 55, 62, 67, 73, 76, 79, 80, 81, 82, 83, 85, 86, 87, 90, 92, 93, 95, 96, 98, 99, 100, 101]"
25,"[1, 3, 4, 6, 8, 12, 13, 15, 16, 17, 19, 20, 21, 23, 25, 26, 28, 29, 30, 31, 34, 36, 41, 42, 43, 44, 46, 47, 48, 49, 50, 51, 54, 56, 57, 58, 59, 61, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 76, 77, 80, 81, 82, 83, 84, 87, 88, 89, 90, 92, 94, 95, 97, 98, 99, 101]"
26,"[2, 4, 7, 10, 11, 13, 17, 18, 19, 20, 21, 23, 26, 28, 29, 31, 34, 36, 38, 40, 41, 42, 50, 51, 55, 56, 58, 60, 62, 65, 66, 67, 68, 69, 70, 71, 72, 74, 76, 79, 80, 81, 82, 83, 84, 86, 87, 88, 89, 90, 92, 93, 95, 97]"
27,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 19, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 33, 34, 35, 36, 37, 39, 40, 41, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 59, 60, 62, 64, 65, 67, 69, 70, 74, 75, 76, 77, 78, 80, 81, 82, 83, 84, 85, 86, 88, 89, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101]"
28,"[1, 3, 6, 8, 11, 18, 21, 23, 24, 26, 28, 30, 31, 34, 36, 42, 44, 50, 53, 55, 59, 61, 64, 65, 70, 71, 72, 73, 76, 78, 79, 82, 83, 85, 88, 89, 90, 94, 95, 97, 98]"
29,"[2, 4, 5, 7, 9, 10, 12, 14, 17, 18, 19, 21, 23, 26, 27, 29, 31, 32, 34, 35, 36, 38, 42, 44, 45, 48, 49, 51, 52, 56, 59, 61, 62, 64, 65, 69, 70, 71, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 85, 87, 88, 89, 90, 91, 93, 94, 96, 97, 98, 100, 101]"
30,"[2, 4, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 19, 20, 21, 22, 23, 24, 27, 28, 29, 30, 31, 32, 33, 34, 36, 37, 38, 39, 40, 41, 42, 44, 45, 46, 49, 50, 51, 54, 55, 56, 58, 59, 60, 61, 62, 63, 65, 66, 67, 69, 70, 71, 72, 73, 76, 78, 79, 81, 82, 83, 85, 88, 89, 90, 91, 92, 93, 94, 97, 98, 99, 100, 101]"
31,"[1, 2, 3, 5, 6, 7, 9, 10, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 25, 26, 27, 28, 29, 30, 32, 34, 35, 36, 37, 39, 42, 43, 44, 45, 46, 47, 48, 51, 52, 53, 54, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 73, 74, 77, 78, 81, 82, 83, 84, 85, 87, 89, 90, 93, 94, 97, 99, 100]"
32,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 19, 21, 23, 24, 25, 26, 27, 30, 31, 32, 33, 34, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 49, 50, 51, 52, 53, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 75, 76, 77, 78, 80, 81, 82, 84, 86, 87, 88, 89, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101]"
33,"[1, 3, 4, 5, 9, 11, 13, 14, 15, 17, 19, 21, 23, 26, 28, 29, 30, 33, 34, 36, 40, 43, 44, 46, 48, 49, 51, 52, 53, 54, 55, 56, 57, 62, 63, 69, 70, 71, 72, 73, 76, 77, 80, 81, 83, 84, 85, 86, 87, 88, 89, 90, 92, 94, 95, 96, 99, 100, 101]"
34,"[2, 4, 5, 7, 12, 13, 15, 18, 19, 20, 21, 22, 24, 27, 28, 30, 35, 36, 37, 39, 41, 45, 46, 48, 53, 59, 61, 62, 64, 67, 68, 73, 75, 78, 82, 83, 84, 86, 87, 88, 90, 92, 93, 94, 95, 96, 98, 100]"
35,"[1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20, 23, 24, 27, 28, 29, 30, 31, 32, 34, 36, 38, 40, 42, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 55, 59, 60, 61, 62, 63, 64, 66, 67, 69, 71, 72, 73, 74, 75, 77, 78, 80, 82, 83, 86, 87, 88, 89, 90, 93, 94, 95, 97, 99, 100]"
36,"[8, 13, 16, 17, 18, 19, 20, 21, 22, 23, 24, 29, 30, 33, 34, 38, 39, 41, 46, 50, 54, 55, 62, 66, 73, 79, 80, 81, 83, 84, 85, 86, 88, 90, 94, 95, 96]"
37,"[1, 2, 3, 4, 5, 6, 9, 10, 12, 13, 14, 15, 17, 18, 19, 20, 21, 25, 26, 27, 30, 31, 33, 34, 35, 36, 37, 38, 39, 40, 42, 45, 46, 48, 49, 52, 53, 54, 55, 56, 57, 58, 59, 61, 62, 64, 66, 68, 70, 73, 74, 75, 76, 77, 78, 79, 80, 81, 83, 84, 87, 88, 89, 90, 91, 93, 94, 97, 98, 99, 100]"
38,"[2, 3, 4, 7, 10, 11, 12, 16, 18, 19, 20, 22, 24, 25, 26, 27, 29, 30, 31, 37, 42, 44, 46, 47, 49, 50, 51, 53, 55, 58, 59, 65, 66, 68, 69, 71, 74, 75, 76, 78, 79, 80, 82, 83, 84, 85, 87, 88, 89, 90, 91, 92, 93, 94, 95, 97, 99, 100, 101]"
39,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 17, 18, 20, 21, 23, 24, 25, 26, 27, 28, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 41, 42, 43, 45, 46, 47, 49, 51, 52, 53, 54, 55, 56, 57, 58, 59, 61, 64, 65, 66, 67, 68, 69, 70, 72, 73, 74, 75, 76, 77, 82, 83, 84, 86, 88, 89, 90, 91, 92, 93, 96, 97, 98, 99, 100, 101]"
40,"[1, 4, 5, 6, 9, 12, 13, 16, 17, 18, 20, 21, 23, 25, 26, 28, 32, 35, 36, 37, 39, 40, 41, 42, 44, 45, 50, 52, 53, 55, 56, 57, 58, 59, 62, 64, 67, 69, 70, 71, 72, 73, 74, 76, 77, 78, 79, 80, 82, 83, 86, 87, 88, 89, 90, 92, 94, 95, 97, 98, 99, 100]"
41,"[1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 23, 24, 25, 26, 27, 29, 30, 31, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 45, 46, 47, 48, 49, 50, 51, 52, 54, 55, 56, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 98, 99, 100, 101]"
42,"[1, 2, 3, 4, 5, 7, 9, 10, 12, 13, 14, 15, 17, 18, 19, 20, 21, 23, 24, 28, 30, 33, 34, 35, 38, 40, 44, 45, 46, 47, 49, 50, 52, 54, 56, 57, 59, 60, 61, 62, 63, 65, 67, 68, 69, 70, 71, 73, 74, 75, 76, 78, 84, 85, 88, 89, 90, 91, 92, 93, 94, 99, 100, 101]"
43,"[3, 5, 9, 10, 16, 17, 18, 19, 20, 21, 22, 23, 25, 28, 29, 33, 36, 38, 39, 40, 41, 44, 46, 51, 52, 53, 55, 57, 59, 60, 63, 65, 66, 69, 71, 74, 76, 78, 81, 83, 85, 86, 87, 88, 92, 93, 94, 97, 98, 99, 100]"
44,"[1, 4, 6, 8, 9, 12, 17, 18, 19, 23, 25, 29, 30, 31, 32, 35, 37, 38, 39, 40, 42, 43, 45, 46, 47, 48, 49, 50, 51, 52, 55, 57, 60, 61, 62, 65, 66, 67, 68, 70, 72, 77, 78, 79, 80, 81, 82, 83, 84, 86, 90, 92, 99, 100, 101]"
45,"[2, 3, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21, 22, 23, 26, 27, 29, 30, 32, 33, 35, 36, 37, 41, 42, 43, 44, 46, 48, 49, 50, 51, 52, 53, 56, 57, 58, 59, 61, 62, 63, 67, 68, 69, 71, 74, 75, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 91, 93, 95, 96, 100, 101]"
46,"[3, 4, 5, 6, 9, 10, 12, 13, 16, 17, 18, 19, 20, 22, 24, 25, 26, 29, 30, 31, 35, 36, 37, 38, 41, 46, 48, 50, 51, 52, 53, 55, 56, 57, 58, 60, 61, 62, 63, 65, 66, 67, 69, 70, 71, 72, 73, 74, 75, 78, 79, 80, 84, 85, 86, 87, 88, 90, 91, 92, 94, 96, 97, 99, 100, 101]"
47,"[2, 7, 9, 14, 16, 19, 21, 22, 23, 28, 38, 41, 57, 59, 61, 67, 73, 74, 80, 82, 83, 86, 87, 88, 89, 92, 93, 95, 97, 98, 99, 100, 101]"
48,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 53, 54, 58, 59, 60, 61, 62, 64, 65, 66, 67, 68, 69, 70, 71, 74, 75, 78, 79, 80, 81, 82, 84, 87, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101]"
49,"[5, 9, 13, 14, 15, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 31, 32, 34, 45, 49, 51, 53, 55, 56, 57, 58, 59, 60, 61, 66, 67, 68, 71, 72, 73, 74, 75, 77, 80, 81, 82, 83, 85, 87, 88, 90, 92, 93, 94, 97, 99, 101]"
50,"[1, 2, 3, 4, 5, 7, 8, 10, 11, 13, 16, 19, 21, 22, 23, 24, 26, 27, 28, 29, 30, 32, 33, 35, 37, 39, 41, 42, 43, 44, 45, 46, 47, 48, 49, 51, 53, 55, 58, 59, 60, 61, 62, 63, 64, 66, 67, 68, 69, 70, 71, 72, 75, 76, 77, 78, 79, 80, 83, 86, 87, 88, 91, 92, 93, 94, 98, 99, 100, 101]"
51,"[1, 2, 3, 4, 5, 6, 8, 11, 13, 15, 17, 18, 19, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 36, 38, 40, 46, 47, 49, 51, 52, 53, 56, 59, 60, 61, 66, 67, 68, 69, 70, 71, 72, 74, 76, 77, 78, 80, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100]"
52,"[6, 9, 10, 11, 13, 14, 16, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 33, 39, 40, 42, 44, 46, 49, 52, 53, 54, 60, 61, 62, 64, 65, 66, 67, 68, 69, 71, 72, 73, 74, 76, 78, 80, 81, 82, 83, 84, 85, 88, 89, 90, 92, 93, 94, 98, 100, 101]"
53,"[1, 3, 4, 6, 7, 8, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 23, 24, 25, 26, 27, 28, 29, 30, 31, 34, 36, 38, 39, 40, 41, 43, 44, 45, 46, 47, 48, 49, 50, 55, 56, 57, 58, 59, 61, 62, 65, 66, 67, 69, 70, 71, 72, 74, 76, 78, 79, 80, 84, 85, 86, 88, 89, 90, 91, 92, 93, 95, 97, 98, 99, 100]"
54,"[1, 3, 4, 5, 8, 9, 10, 11, 15, 16, 17, 18, 19, 20, 21, 23, 26, 27, 28, 30, 31, 33, 35, 36, 37, 38, 40, 41, 42, 43, 44, 45, 46, 48, 51, 52, 54, 55, 56, 57, 60, 61, 62, 63, 65, 66, 70, 72, 73, 74, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 87, 88, 91, 93, 94, 95, 96, 98, 99, 101]"
55,"[1, 2, 3, 4, 5, 6, 9, 10, 12, 13, 14, 15, 17, 19, 20, 21, 22, 23, 24, 25, 26, 27, 29, 30, 31, 32, 34, 35, 36, 37, 39, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 53, 54, 55, 56, 58, 59, 60, 62, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 78, 79, 80, 82, 83, 84, 85, 86, 87, 88, 89, 90, 92, 93, 95, 96, 97, 98, 99, 101]"
56,"[1, 2, 3, 9, 12, 20, 21, 22, 23, 29, 34, 36, 38, 41, 44, 45, 46, 50, 54, 57, 66, 68, 75, 79, 80, 83, 87, 88, 89, 90, 94, 95, 96, 97, 98, 99]"
