student,exercise
1,"[3, 6, 8, 11, 12, 13, 18]"
2,"[10, 11, 13, 15, 16, 18]"
3,"[4, 9, 11, 15, 16]"
4,"[1, 8, 10, 11, 15, 16, 18, 20]"
5,"[3, 5, 8, 10, 11, 15, 16, 18, 20]"
6,"[3, 4, 5, 8, 9, 11, 15, 16, 18, 20]"
7,"[1, 4, 5, 8, 11, 15, 16, 18, 20]"
8,"[4, 5, 6, 8, 12, 15, 16, 18, 20]"
9,"[2, 3, 5, 6, 7, 8, 10, 12, 15, 18]"
10,"[6, 7, 8, 12, 18, 19, 20]"
11,"[1, 4, 15, 18, 20]"
12,"[2, 3, 6, 11, 12, 13, 15, 18, 20]"
13,"[3, 4, 8, 10, 11, 16, 18, 20]"
14,"[4, 5, 8, 9, 13, 18, 20]"
15,"[9, 20, 5, 15]"
16,"[1, 3, 4, 5, 10, 11, 15, 18, 20]"
17,"[2, 6, 8, 11, 12, 13, 15, 16, 18]"
18,"[7, 4, 20, 15]"
19,"[3, 5, 8, 9, 11, 15, 16, 20]"
20,"[1, 2, 3, 5, 13, 16, 20]"
21,"[1, 4, 15, 16, 18, 20]"
22,"[3, 4, 5, 8, 10, 11, 15, 16, 18, 20]"
23,"[6, 8, 11, 12, 13, 16, 19, 20]"
24,"[20, 5, 14]"
25,"[1, 8, 10, 11, 13, 15, 16, 18, 19, 20]"
26,"[2, 5, 7, 15, 16, 18]"
27,"[1, 4, 5, 8, 9, 10, 15, 16, 18, 20]"
28,"[3, 6, 8, 9, 11, 12, 13, 18, 19]"
29,"[3, 4, 5, 6, 8, 10, 12, 15, 18, 20]"
30,"[8, 4, 12, 7]"
31,"[1, 9, 11, 15, 20]"
32,"[1, 4, 5, 8, 9, 11, 13, 16, 20]"
33,"[2, 4, 5, 6, 12, 15, 16, 18, 20]"
34,"[2, 5, 8, 9, 11, 13, 16, 18, 20]"
35,"[8, 18, 5]"
36,"[1, 5, 8, 10, 11, 13, 15, 16, 18, 20]"
37,"[4, 5, 6, 7, 8, 10, 12, 15, 18]"
38,"[3, 11, 13, 14, 15, 16]"
39,"[1, 4, 5, 8, 11, 13, 15, 16, 18, 20]"
40,"[1, 4, 5, 8, 10, 15, 16]"
41,"[3, 5, 6, 11, 12, 18, 20]"
42,"[1, 6, 8, 11, 12, 15, 16, 18, 19, 20]"
43,"[3, 8, 10, 11, 12, 13, 15, 16, 18, 20]"
44,"[9, 12, 5, 6]"
45,"[2, 3, 5, 8, 10, 15, 16, 18, 19, 20]"
46,"[5, 8, 11, 13, 17, 19]"
47,"[3, 5, 6, 8, 12, 15, 16, 18, 19, 20]"
48,"[4, 5, 6, 7, 8, 12, 15, 16]"
49,"[3, 6, 7, 8, 11, 12, 15, 18, 20]"
50,"[3, 4, 5, 10, 18]"
51,"[3, 4, 5, 6, 8, 9, 12, 16, 18, 20]"
52,"[1, 2, 3, 8, 11, 15, 20]"
53,"[2, 3, 8, 9, 11, 15, 16, 18, 20]"
54,"[5, 6, 7, 8, 10, 11, 12, 13, 18, 19]"
55,"[8, 11]"
56,"[9, 11, 13, 6]"
57,"[1, 4, 5, 9, 15, 16, 18, 19]"
58,"[10, 11, 12]"
59,"[5, 9, 11, 13, 16, 18, 20]"
60,"[2, 5, 6, 8, 11, 12, 13, 20]"
61,"[3, 4, 5, 6, 7, 8, 12, 15, 18, 20]"
62,"[3, 6, 10, 11, 12, 13, 15, 18, 20]"
63,"[1, 5, 6, 8, 12, 16, 18, 20]"
64,"[3, 5, 10, 11, 13, 15, 16]"
65,"[1, 3, 5, 8, 11, 15, 16]"
66,"[6, 7, 8, 11, 12, 13, 15, 18, 20]"
67,"[16, 1]"
68,"[4, 8, 11, 18, 20]"
69,"[12, 5]"
70,"[5, 8, 11, 12, 13, 16, 20]"
71,"[1, 3, 5, 10, 16, 18, 20]"
72,"[18, 3, 20, 5]"
73,"[2, 6, 8, 11, 12, 13, 15, 16, 19, 20]"
74,"[3, 5, 8, 12, 15]"
75,"[1, 4, 5, 10, 14, 15, 16, 17, 18, 20]"
76,"[1, 8, 10, 14, 15, 16, 17, 19, 20]"
77,"[3, 4, 5, 8, 10, 16, 18, 20]"
78,"[4, 8, 13, 15, 16, 18, 20]"
79,"[5, 6, 9, 11, 12, 13, 16, 18, 20]"
80,"[5, 6, 7, 8, 11, 12, 13, 15, 18, 19]"
81,[19]
82,"[1, 5, 6, 7, 15, 18, 20]"
83,"[12, 6, 7]"
84,"[1, 5, 8, 9, 10, 11, 15, 16, 18, 20]"
85,"[3, 11, 12, 13, 15, 16, 18, 20]"
86,"[1, 9, 11, 13, 16, 19, 20]"
87,"[2, 3, 4, 5, 8, 15, 16, 18, 19, 20]"
88,"[4, 5, 8, 11, 13, 16, 20]"
89,"[7, 8, 11, 12, 13, 15, 16, 20]"
90,"[1, 5, 6, 7, 12, 15, 16, 18, 20]"
91,"[3, 4, 5, 6, 8, 11, 12, 15, 18]"
92,"[1, 6, 8, 11, 12, 14, 17, 19]"
93,"[6, 8, 9, 10, 11, 15]"
94,"[3, 6, 8, 11, 12, 13, 16, 18, 20]"
95,"[1, 3, 10, 15, 16, 20]"
96,"[1, 6, 8, 11, 12, 13, 15, 16, 18, 20]"
97,"[1, 4, 5, 8, 11, 16]"
98,"[2, 6, 7, 8, 12, 15, 16, 18, 19, 20]"
99,"[1, 3, 11, 13, 14, 17]"
100,"[16, 8, 18]"
101,"[1, 4, 5, 11, 15, 16, 18, 20]"
102,"[5, 6, 7, 10, 15, 16, 20]"
103,"[1, 8, 9, 11, 13, 16, 20]"
104,"[11, 4, 5, 15]"
105,"[1, 5, 8, 10, 11, 13, 15, 16, 18, 20]"
106,"[3, 5, 6, 8, 9, 12, 15, 16, 18, 20]"
107,"[1, 3, 8, 13, 16, 18, 19, 20]"
108,"[2, 5, 6, 8, 12, 15, 16, 18, 19, 20]"
109,"[1, 8, 11, 14, 15, 16, 17, 18, 19, 20]"
110,"[5, 8, 9, 11, 13, 15, 16, 18, 20]"
111,"[1, 10, 11, 13, 15, 16, 19, 20]"
112,"[1, 3, 4, 5, 8, 9, 10, 11, 16, 18]"
113,"[3, 4, 5, 8, 11, 15, 16, 18, 19, 20]"
114,"[1, 11, 13, 15, 16, 18, 19, 20]"
115,"[4, 5, 8, 14, 15, 16, 18, 19, 20]"
116,"[1, 3, 4, 5, 8, 10, 16, 18, 19]"
117,[8]
118,"[2, 6, 7, 8, 12, 15, 16, 18, 19, 20]"
119,"[18, 11, 20, 14]"
120,"[1, 6, 7, 8, 10, 15, 16, 18, 20]"
121,"[5, 6, 7, 8, 11, 12, 13, 15, 18, 19]"
122,"[1, 4, 5, 8, 11, 13, 16, 18, 19, 20]"
123,"[16, 11, 4, 15]"
124,"[3, 4, 5, 6, 7, 12, 15, 16, 18, 20]"
125,"[5, 8, 11, 13, 20]"
126,"[1, 8, 10, 15, 16, 17, 18, 20]"
127,"[1, 4, 5, 8, 11, 14, 16, 17, 18, 20]"
128,"[1, 4, 8, 16, 18, 19]"
129,"[18, 3, 13]"
130,"[4, 5, 14, 15, 18]"
131,"[2, 3, 5, 6, 12, 16, 18, 20]"
132,"[1, 3, 4, 5, 9, 10, 15, 16, 18, 20]"
133,"[8, 2, 5]"
134,"[4, 5, 16, 18, 20]"
135,"[1, 5, 14, 15, 16, 17, 19, 20]"
136,"[5, 8, 10, 11, 13, 16, 18, 20]"
137,"[1, 4, 14, 15, 16, 18, 19]"
138,"[1, 4, 5]"
139,"[1, 5, 9, 14, 15, 16, 17, 18, 20]"
140,"[1, 4, 8, 13, 18, 19]"
141,"[1, 8, 11, 18, 19, 20]"
142,"[4, 5, 6, 7, 8, 12, 19, 20]"
143,"[8, 18, 20]"
144,"[4, 6, 8, 12, 15, 16, 18, 20]"
145,"[1, 4, 5, 9, 10, 15, 16, 18, 20]"
146,"[3, 6, 9, 10, 12, 15, 16, 20]"
147,"[18, 3, 4, 5]"
148,"[1, 3, 4, 5, 8, 10, 15, 16, 18, 20]"
149,"[1, 5, 11, 13, 14, 15, 16, 17, 20]"
150,"[1, 4, 5, 11, 15, 16, 18, 20]"
151,"[5, 8, 9, 11, 16, 18]"
152,"[2, 3, 5, 6, 8, 12, 15, 16, 18, 20]"
