1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101
0.57,0.5,0.56,0.5,0.51,0.48,0.5,0.6,0.5,0.5,0.53,0.51,0.51,0.52,0.5,0.5,0.5,0.54,0.51,0.5,0.68,0.5,0.5,0.5,0.5,0.7,0.5,0.51,0.56,0.5,0.5,0.53,0.51,0.5,0.52,0.5,0.55,0.42,0.51,0.53,0.53,0.5,0.58,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.49,0.43,0.62,0.5,0.49,0.5,0.5,0.49,0.57,0.55,0.32,0.5,0.51,0.56,0.5,0.49,0.62,0.58,0.57,0.5,0.62,0.64,0.51,0.58,0.5,0.5,0.5,0.54,0.5,0.49,0.49,0.5,0.47,0.57,0.53,0.5,0.41,0.5,0.49,0.5,0.51,0.5,0.68,0.5,0.61,0.52,0.4,0.5,0.51,0.51
0.47,0.5,0.52,0.49,0.5,0.48,0.5,0.58,0.5,0.49,0.58,0.52,0.5,0.52,0.49,0.5,0.62,0.48,0.5,0.5,0.51,0.51,0.5,0.5,0.5,0.73,0.5,0.5,0.52,0.5,0.5,0.54,0.5,0.57,0.56,0.5,0.5,0.54,0.5,0.51,0.5,0.5,0.55,0.5,0.5,0.32,0.5,0.51,0.61,0.51,0.51,0.45,0.66,0.55,0.6,0.67,0.5,0.5,0.5,0.33,0.5,0.39,0.56,0.3,0.37,0.49,0.49,0.6,0.5,0.64,0.53,0.6,0.53,0.6,0.51,0.45,0.5,0.5,0.45,0.45,0.5,0.58,0.5,0.6,0.63,0.65,0.5,0.52,0.4,0.5,0.51,0.51,0.5,0.52,0.49,0.69,0.51,0.5,0.51,0.61,0.5
0.51,0.49,0.56,0.5,0.51,0.53,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.49,0.5,0.5,0.5,0.58,0.5,0.5,0.63,0.5,0.5,0.49,0.5,0.57,0.5,0.5,0.51,0.5,0.51,0.58,0.5,0.54,0.54,0.5,0.47,0.56,0.5,0.5,0.5,0.5,0.55,0.5,0.5,0.49,0.5,0.5,0.5,0.49,0.5,0.5,0.62,0.5,0.5,0.62,0.5,0.5,0.5,0.5,0.49,0.53,0.5,0.51,0.51,0.49,0.5,0.59,0.49,0.59,0.5,0.58,0.48,0.55,0.5,0.5,0.5,0.5,0.59,0.5,0.5,0.49,0.5,0.43,0.51,0.57,0.5,0.69,0.5,0.51,0.5,0.5,0.5,0.57,0.5,0.54,0.56,0.51,0.49,0.49,0.49
0.48,0.5,0.5,0.5,0.51,0.5,0.5,0.49,0.5,0.5,0.44,0.49,0.49,0.54,0.54,0.51,0.5,0.56,0.5,0.5,0.5,0.5,0.5,0.49,0.5,0.51,0.5,0.5,0.5,0.51,0.5,0.52,0.5,0.48,0.52,0.5,0.5,0.57,0.5,0.51,0.5,0.49,0.5,0.5,0.5,0.49,0.5,0.5,0.5,0.5,0.51,0.5,0.46,0.47,0.49,0.5,0.5,0.5,0.5,0.49,0.49,0.5,0.5,0.5,0.5,0.5,0.5,0.54,0.5,0.5,0.5,0.47,0.49,0.55,0.5,0.5,0.49,0.5,0.52,0.5,0.49,0.51,0.5,0.5,0.6,0.48,0.5,0.5,0.51,0.5,0.5,0.43,0.5,0.57,0.5,0.52,0.5,0.49,0.49,0.51,0.5
0.6,0.51,0.56,0.5,0.5,0.55,0.5,0.6,0.51,0.5,0.59,0.5,0.5,0.54,0.51,0.49,0.49,0.5,0.5,0.51,0.71,0.49,0.51,0.49,0.51,0.69,0.51,0.5,0.57,0.51,0.5,0.57,0.49,0.59,0.59,0.5,0.5,0.55,0.5,0.5,0.53,0.51,0.58,0.5,0.5,0.49,0.49,0.49,0.5,0.5,0.51,0.5,0.7,0.5,0.51,0.59,0.51,0.5,0.5,0.49,0.5,0.6,0.5,0.5,0.6,0.5,0.5,0.64,0.5,0.54,0.5,0.65,0.51,0.6,0.54,0.5,0.51,0.5,0.5,0.5,0.5,0.5,0.51,0.58,0.57,0.61,0.5,0.65,0.49,0.51,0.5,0.5,0.5,0.54,0.5,0.61,0.6,0.5,0.5,0.62,0.5
0.56,0.5,0.56,0.5,0.5,0.54,0.5,0.57,0.5,0.5,0.58,0.51,0.51,0.52,0.5,0.5,0.51,0.5,0.5,0.5,0.49,0.5,0.49,0.51,0.33,0.59,0.51,0.5,0.57,0.5,0.5,0.57,0.5,0.59,0.61,0.49,0.46,0.54,0.49,0.56,0.53,0.5,0.59,0.51,0.51,0.5,0.76,0.5,0.5,0.5,0.49,0.5,0.67,0.5,0.5,0.58,0.5,0.49,0.51,0.51,0.5,0.67,0.49,0.49,0.44,0.5,0.5,0.62,0.57,0.51,0.21,0.6,0.65,0.54,0.56,0.5,0.5,0.49,0.59,0.5,0.5,0.49,0.49,0.59,0.54,0.64,0.49,0.69,0.5,0.5,0.5,0.5,0.5,0.59,0.49,0.58,0.52,0.54,0.5,0.55,0.5
0.56,0.49,0.56,0.5,0.5,0.59,0.53,0.58,0.5,0.5,0.56,0.52,0.51,0.57,0.49,0.5,0.5,0.48,0.56,0.49,0.61,0.59,0.5,0.5,0.49,0.54,0.5,0.47,0.7,0.5,0.5,0.57,0.5,0.62,0.61,0.49,0.47,0.56,0.5,0.58,0.5,0.49,0.6,0.51,0.5,0.5,0.66,0.5,0.5,0.51,0.5,0.5,0.74,0.56,0.5,0.46,0.5,0.5,0.49,0.63,0.53,0.53,0.69,0.49,0.36,0.61,0.49,0.58,0.62,0.58,0.51,0.6,0.38,0.6,0.51,0.49,0.5,0.5,0.51,0.5,0.5,0.49,0.5,0.52,0.55,0.62,0.54,0.58,0.5,0.5,0.51,0.49,0.5,0.5,0.5,0.61,0.62,0.54,0.5,0.6,0.52
0.6,0.5,0.58,0.51,0.5,0.6,0.5,0.57,0.49,0.5,0.59,0.54,0.5,0.54,0.49,0.49,0.5,0.5,0.5,0.5,0.55,0.5,0.5,0.5,0.52,0.58,0.49,0.51,0.65,0.42,0.5,0.56,0.5,0.53,0.59,0.49,0.5,0.52,0.5,0.5,0.5,0.5,0.57,0.5,0.5,0.5,0.5,0.59,0.49,0.49,0.49,0.51,0.56,0.5,0.51,0.66,0.49,0.5,0.5,0.5,0.51,0.39,0.5,0.58,0.64,0.5,0.51,0.65,0.5,0.64,0.49,0.56,0.66,0.63,0.5,0.61,0.49,0.5,0.7,0.55,0.5,0.51,0.49,0.38,0.6,0.47,0.5,0.54,0.53,0.51,0.5,0.5,0.5,0.62,0.5,0.65,0.59,0.5,0.51,0.62,0.5
0.54,0.5,0.56,0.5,0.5,0.46,0.5,0.54,0.5,0.5,0.55,0.52,0.5,0.54,0.5,0.5,0.49,0.52,0.5,0.49,0.5,0.49,0.5,0.5,0.34,0.67,0.49,0.5,0.64,0.51,0.5,0.54,0.5,0.5,0.57,0.51,0.49,0.55,0.49,0.53,0.53,0.51,0.58,0.49,0.49,0.5,0.5,0.5,0.51,0.5,0.51,0.5,0.5,0.6,0.5,0.61,0.5,0.5,0.49,0.42,0.57,0.49,0.58,0.5,0.33,0.5,0.5,0.58,0.65,0.59,0.27,0.64,0.5,0.37,0.57,0.5,0.5,0.5,0.52,0.5,0.5,0.51,0.5,0.43,0.64,0.61,0.5,0.57,0.5,0.51,0.51,0.51,0.5,0.57,0.5,0.58,0.68,0.42,0.49,0.53,0.5
0.58,0.5,0.57,0.49,0.5,0.54,0.52,0.58,0.5,0.49,0.54,0.5,0.51,0.52,0.49,0.51,0.5,0.55,0.56,0.5,0.56,0.5,0.5,0.49,0.51,0.57,0.5,0.5,0.49,0.49,0.5,0.55,0.5,0.57,0.57,0.5,0.49,0.55,0.49,0.57,0.5,0.5,0.55,0.5,0.49,0.51,0.54,0.5,0.5,0.5,0.5,0.5,0.66,0.62,0.49,0.65,0.49,0.5,0.5,0.54,0.53,0.63,0.56,0.51,0.62,0.5,0.5,0.61,0.54,0.54,0.49,0.6,0.62,0.63,0.51,0.5,0.49,0.49,0.57,0.49,0.5,0.5,0.49,0.6,0.51,0.57,0.5,0.57,0.49,0.5,0.5,0.49,0.5,0.62,0.5,0.57,0.52,0.52,0.51,0.52,0.5
