item_id,knowledge_code
1,"[1, 10]"
2,"[1, 10]"
3,"[1, 10]"
4,"[1, 10]"
5,"[1, 12]"
6,"[1, 12]"
7,"[1, 12]"
8,"[1, 10]"
9,"[1, 12]"
10,"[1, 10]"
11,"[1, 10]"
12,"[1, 12]"
13,"[1, 10]"
14,"[1, 10]"
15,"[1, 10]"
16,"[1, 10]"
17,"[1, 10]"
18,"[1, 12]"
19,"[1, 12]"
20,"[1, 10]"
21,"[1, 12]"
22,"[1, 10]"
23,"[1, 12]"
24,"[1, 10]"
25,"[1, 1, 12, 12]"
26,"[1, 10]"
27,"[1, 10]"
28,"[1, 12]"
29,"[1, 10]"
30,"[1, 12]"
31,"[1, 10]"
32,"[1, 12]"
33,"[1, 10]"
34,"[1, 10]"
35,"[1, 1, 10, 10]"
36,"[1, 10]"
37,"[1, 10]"
38,"[1, 10]"
39,"[1, 10]"
40,"[1, 10]"
41,"[1, 1, 10, 10]"
42,"[1, 12]"
43,"[1, 10]"
44,"[1, 10]"
45,"[1, 12]"
46,"[1, 1, 10, 10]"
47,"[1, 12]"
48,"[1, 10]"
49,"[1, 10]"
50,"[1, 10]"
51,"[1, 10]"
52,"[1, 10]"
53,"[1, 10]"
54,"[1, 10]"
55,"[1, 12]"
56,"[1, 12]"
57,"[1, 10]"
58,"[1, 10]"
59,"[1, 10]"
60,"[1, 12]"
61,"[1, 10]"
62,"[1, 10]"
63,"[1, 10]"
64,"[1, 10]"
65,"[1, 10]"
66,"[1, 12]"
67,"[1, 10]"
68,"[1, 10]"
69,"[1, 12]"
70,"[1, 10]"
71,"[1, 10]"
72,"[1, 10]"
73,"[1, 12]"
74,"[1, 10]"
75,"[1, 10]"
76,"[1, 12]"
77,"[1, 10]"
78,"[1, 12]"
79,"[1, 12]"
80,[1]
81,[1]
82,[1]
83,[1]
84,"[1, 10]"
85,"[1, 1, 12, 12]"
86,"[1, 12]"
87,"[1, 10]"
88,"[1, 10]"
89,[1]
90,"[1, 12]"
91,[1]
92,[1]
93,[1]
94,"[1, 12]"
95,[1]
96,[1]
97,"[1, 12]"
98,[1]
99,"[1, 1, 12, 12]"
100,"[1, 12]"
101,"[1, 12]"
102,"[1, 10]"
103,"[1, 12]"
104,[1]
105,"[1, 12]"
106,[1]
107,[1]
108,[1]
109,[1]
110,"[1, 12]"
111,"[1, 10]"
112,"[1, 12]"
113,[1]
114,[1]
115,"[1, 12]"
116,"[1, 12]"
117,[1]
118,[1]
119,[1]
120,"[1, 12]"
121,[1]
122,"[1, 12]"
123,[1]
124,"[1, 12]"
125,[1]
126,[1]
127,"[1, 12]"
128,[1]
129,[1]
130,"[1, 12]"
131,[1]
132,"[1, 10]"
133,"[2, 25, 45]"
134,"[2, 25, 45]"
135,"[2, 25, 45]"
136,"[2, 25, 45]"
137,"[2, 25, 45]"
138,"[2, 25, 45]"
139,"[2, 25, 32, 49]"
140,"[2, 32, 50]"
141,"[2, 25, 32]"
142,"[2, 32, 50]"
143,"[2, 25, 32]"
144,"[2, 25, 32, 49]"
145,"[2, 45]"
146,"[2, 45]"
147,"[2, 45]"
148,"[2, 25, 32, 49]"
149,"[2, 25, 32, 49]"
150,"[2, 25, 32, 49]"
151,"[2, 25, 32, 49]"
152,"[2, 32, 50]"
153,"[2, 25, 32]"
154,"[2, 32, 50]"
155,"[2, 25, 32]"
156,"[2, 45]"
157,"[2, 45]"
158,"[2, 45]"
159,"[2, 45]"
160,"[2, 45]"
161,"[2, 32, 50]"
162,"[2, 32, 50]"
163,"[2, 45]"
164,"[2, 32, 50]"
165,"[2, 32, 50]"
166,"[2, 45]"
167,"[2, 25, 45]"
168,"[2, 25, 45]"
169,"[2, 25, 45]"
170,"[2, 32, 50]"
171,"[2, 45]"
172,"[2, 45]"
173,"[2, 45]"
174,"[2, 45]"
175,"[2, 45]"
176,"[2, 45]"
177,"[2, 25, 45]"
178,"[2, 25, 32]"
179,"[2, 25, 32]"
180,"[2, 25, 32]"
181,"[2, 45]"
182,"[2, 32, 50]"
183,"[2, 2, 25, 25, 32, 32, 49, 49]"
184,"[2, 45]"
185,"[2, 45]"
186,"[2, 25, 32]"
187,"[2, 25, 32]"
188,"[2, 32, 50]"
189,"[2, 25, 45]"
190,"[2, 25, 32, 49]"
191,"[2, 45]"
192,"[2, 45]"
193,"[2, 45]"
194,"[2, 45]"
195,"[2, 45]"
196,"[2, 25, 32, 49]"
197,"[2, 2, 25, 25, 32, 32, 49, 49]"
198,"[2, 25, 45]"
199,"[2, 25, 45]"
200,"[2, 25, 32, 49]"
201,"[2, 45]"
202,"[2, 25, 45]"
203,"[2, 25, 32, 49]"
204,"[2, 45]"
205,"[2, 45]"
206,"[2, 45]"
207,"[2, 45]"
208,"[2, 45]"
209,"[2, 45]"
210,"[2, 25, 32, 49]"
211,"[2, 25, 32, 49]"
212,"[2, 25, 32, 49]"
213,"[2, 45]"
214,"[2, 32, 50]"
215,"[2, 45]"
216,"[2, 2, 32, 32, 50, 50]"
217,"[2, 45]"
218,"[2, 45]"
219,"[2, 45]"
220,"[2, 45]"
221,"[2, 25, 45]"
222,"[2, 45]"
223,"[2, 45]"
224,"[2, 45]"
225,"[2, 45]"
226,"[2, 45]"
227,"[2, 25, 32]"
228,"[2, 32, 50]"
229,"[2, 25, 32]"
230,"[2, 32, 50]"
231,"[2, 25, 45]"
232,"[2, 25, 45]"
233,"[2, 45]"
234,"[2, 25, 45]"
235,"[2, 25, 32, 49]"
236,"[2, 25, 45]"
237,"[2, 25, 45]"
238,"[2, 25, 32, 49]"
239,"[2, 32, 50]"
240,"[2, 25, 32]"
241,"[2, 32, 50]"
242,"[2, 25, 32]"
243,"[2, 45]"
244,"[2, 25, 45]"
245,"[2, 25, 45]"
246,"[2, 32, 50]"
