student,bear_diff
1,0.61
2,0.59
3,0.58
4,0.58
5,0.62
6,0.62
7,0.62
8,0.62
9,0.6
10,0.6
11,0.51
12,0.62
13,0.6
14,0.65
15,0.62
16,0.53
17,0.59
18,0.6
19,0.53
20,0.55
21,0.59
22,0.62
23,0.61
24,0.62
25,0.58
26,0.53
27,0.58
28,0.67
29,0.6
30,0.58
31,0.61
32,0.59
33,0.71
34,0.59
35,0.56
36,0.59
37,0.58
38,0.6
39,0.59
40,0.63
41,0.52
42,0.63
43,0.62
44,0.55
45,0.61
46,0.62
47,0.57
48,0.6
49,0.63
50,0.51
51,0.53
52,0.59
53,0.49
54,0.6
55,0.54
56,0.63
57,0.63
58,0.65
59,0.63
60,0.6
61,0.62
62,0.61
63,0.57
64,0.51
65,0.52
66,0.59
67,0.59
68,0.62
69,0.6
70,0.64
71,0.61
72,0.59
73,0.61
74,0.61
75,0.57
76,0.58
77,0.66
78,0.61
79,0.57
80,0.61
81,0.59
82,0.59
83,0.6
84,0.63
85,0.6
86,0.6
87,0.6
88,0.65
89,0.51
90,0.58
91,0.59
92,0.58
93,0.66
94,0.6
95,0.51
96,0.51
97,0.48
98,0.65
99,0.53
100,0.6
101,0.58
102,0.66
103,0.63
104,0.65
105,0.64
106,0.59
107,0.62
108,0.55
109,0.6
110,0.52
111,0.61
112,0.58
113,0.48
114,0.51
115,0.51
116,0.57
117,0.55
118,0.58
119,0.63
120,0.56
121,0.6
122,0.58
123,0.58
124,0.59
125,0.62
126,0.63
127,0.61
128,0.61
129,0.59
130,0.64
131,0.6
132,0.55
133,0.57
134,0.56
135,0.58
136,0.61
137,0.51
138,0.44
139,0.6
140,0.59
141,0.67
142,0.61
143,0.65
144,0.6
145,0.6
146,0.64
147,0.59
148,0.58
149,0.63
150,0.61
151,0.6
152,0.6
153,0.61
154,0.58
155,0.61
156,0.44
157,0.58
158,0.65
159,0.62
160,0.55
161,0.63
162,0.62
163,0.62
164,0.64
165,0.61
166,0.56
167,0.65
168,0.62
169,0.57
170,0.55
171,0.65
172,0.58
173,0.63
174,0.52
175,0.6
176,0.62
177,0.59
178,0.6
179,0.57
180,0.59
181,0.62
182,0.62
183,0.66
184,0.54
185,0.52
186,0.61
187,0.58
188,0.61
189,0.63
190,0.63
191,0.61
192,0.56
193,0.65
194,0.64
195,0.6
196,0.61
197,0.62
198,0.61
199,0.56
200,0.62
201,0.62
202,0.6
203,0.61
204,0.57
205,0.62
206,0.6
207,0.58
208,0.58
209,0.6
210,0.62
211,0.58
212,0.6
213,0.59
214,0.49
215,0.6
216,0.58
217,0.59
218,0.59
219,0.57
220,0.58
221,0.62
222,0.59
223,0.56
224,0.55
225,0.61
226,0.55
227,0.59
228,0.59
229,0.65
230,0.63
231,0.45
232,0.61
233,0.63
234,0.61
235,0.65
236,0.61
237,0.57
238,0.53
239,0.63
240,0.65
241,0.62
242,0.62
243,0.58
244,0.61
245,0.55
246,0.56
247,0.54
248,0.61
249,0.62
250,0.57
251,0.63
252,0.6
253,0.41
254,0.59
255,0.58
256,0.59
257,0.59
258,0.53
259,0.6
260,0.59
261,0.55
262,0.63
263,0.55
264,0.54
265,0.62
266,0.62
267,0.62
268,0.59
269,0.59
270,0.65
271,0.56
272,0.65
273,0.66
274,0.64
275,0.49
276,0.66
277,0.6
278,0.62
279,0.56
280,0.58
281,0.59
282,0.59
283,0.56
284,0.53
285,0.63
286,0.61
287,0.52
288,0.57
289,0.62
290,0.55
291,0.64
292,0.63
293,0.58
294,0.63
295,0.61
296,0.66
297,0.62
298,0.51
299,0.62
300,0.55
301,0.57
302,0.59
303,0.52
304,0.62
305,0.63
306,0.61
307,0.65
308,0.63
309,0.59
310,0.65
311,0.55
312,0.62
313,0.63
314,0.62
315,0.59
316,0.61
317,0.52
318,0.61
319,0.61
320,0.58
321,0.5
322,0.61
323,0.57
324,0.54
325,0.63
326,0.58
327,0.59
328,0.59
329,0.59
330,0.51
331,0.65
332,0.59
333,0.6
334,0.58
335,0.62
336,0.57
337,0.62
338,0.61
339,0.59
340,0.62
341,0.63
342,0.61
343,0.6
344,0.59
345,0.61
346,0.62
347,0.6
348,0.59
349,0.5
350,0.58
351,0.52
352,0.54
353,0.63
354,0.63
355,0.6
356,0.61
357,0.73
358,0.65
359,0.59
360,0.46
361,0.6
362,0.59
363,0.57
364,0.53
365,0.54
366,0.62
367,0.59
368,0.63
369,0.6
370,0.6
371,0.62
372,0.56
373,0.58
374,0.55
375,0.61
376,0.6
377,0.59
378,0.61
379,0.63
380,0.51
381,0.6
382,0.64
383,0.66
384,0.57
385,0.62
386,0.58
387,0.55
388,0.62
389,0.57
390,0.66
391,0.64
392,0.58
393,0.56
394,0.61
395,0.62
396,0.51
397,0.59
398,0.45
399,0.56
400,0.58
401,0.58
402,0.58
403,0.61
404,0.6
405,0.61
406,0.61
407,0.47
408,0.61
409,0.63
410,0.61
411,0.61
412,0.63
413,0.6
414,0.6
415,0.62
416,0.49
417,0.6
418,0.66
419,0.63
420,0.57
421,0.51
422,0.53
423,0.64
424,0.63
425,0.64
426,0.53
427,0.59
428,0.63
429,0.55
430,0.59
431,0.62
432,0.6
433,0.62
434,0.61
435,0.54
436,0.63
437,0.62
438,0.6
439,0.59
440,0.54
441,0.59
442,0.59
443,0.58
444,0.46
445,0.62
446,0.65
447,0.62
448,0.56
449,0.62
450,0.7
451,0.42
452,0.66
453,0.62
454,0.56
455,0.58
456,0.62
457,0.64
458,0.6
459,0.6
460,0.63
461,0.6
462,0.59
463,0.58
464,0.55
465,0.63
466,0.6
467,0.61
468,0.65
469,0.61
470,0.63
471,0.61
472,0.63
473,0.58
474,0.62
475,0.64
476,0.62
477,0.64
478,0.61
479,0.52
480,0.59
481,0.59
482,0.33
483,0.63
484,0.6
485,0.67
486,0.56
487,0.57
488,0.56
489,0.6
490,0.62
491,0.63
492,0.66
493,0.61
494,0.63
495,0.63
496,0.57
497,0.62
498,0.64
499,0.65
500,0.64
501,0.47
502,0.61
503,0.63
504,0.63
505,0.59
506,0.64
507,0.56
508,0.62
509,0.44
510,0.6
511,0.6
512,0.54
513,0.58
514,0.56
515,0.6
516,0.63
517,0.61
518,0.62
519,0.55
520,0.58
521,0.58
522,0.61
523,0.56
524,0.58
525,0.58
526,0.64
527,0.58
528,0.61
529,0.58
530,0.59
531,0.62
532,0.62
533,0.62
534,0.44
535,0.59
536,0.65
537,0.64
538,0.61
539,0.59
540,0.62
541,0.6
542,0.61
543,0.61
544,0.62
545,0.63
546,0.66
547,0.64
548,0.52
549,0.57
550,0.53
551,0.52
552,0.56
553,0.63
554,0.58
555,0.62
556,0.61
557,0.59
558,0.59
559,0.5
560,0.43
561,0.5
562,0.6
563,0.64
564,0.59
565,0.54
566,0.57
567,0.63
568,0.61
569,0.64
570,0.64
571,0.58
572,0.59
573,0.55
574,0.57
575,0.64
