,知识点1,知识点2,知识点3,知识点4,知识点5,知识点6,知识点7,知识点8,知识点9,知识点10,知识点11,知识点12,知识点13,知识点14,知识点15,知识点16
第一题,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
第二题,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
第三题,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0
第四题,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
第五题,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0
第六题,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1
第七题,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
第八题,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0
第九题,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0
第十题,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
第十一题,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0
第十二题,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1
第十三题,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
第十四题,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
第十五题,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
第十六题,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
第十七题,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
第十八题,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0
第十九题,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
第二十题,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
