item_id,knowledge_code
1,"[3, 69]"
2,"[93, 69]"
3,"[3, 69]"
4,"[3, 78]"
5,"[93, 69]"
6,[26]
7,[96]
8,[96]
9,[96]
10,[59]
11,[39]
12,[39]
13,[65]
14,"[65, 78]"
15,"[65, 78]"
16,"[39, 78]"
17,[65]
18,[65]
19,[65]
20,[65]
21,[39]
22,[65]
23,"[65, 97]"
24,"[65, 97]"
25,"[65, 69]"
26,"[65, 69]"
27,"[39, 59]"
28,[65]
29,[65]
30,[65]
31,[65]
32,[65]
33,"[65, 86]"
34,"[65, 86]"
35,"[65, 86]"
36,"[39, 86]"
37,"[65, 86]"
38,"[65, 86]"
39,"[65, 86]"
40,"[65, 86]"
41,"[64, 86]"
42,[39]
43,[39]
44,[39]
45,[39]
46,[39]
47,"[39, 28]"
48,"[39, 61]"
49,"[39, 28]"
50,"[39, 34]"
51,"[39, 28]"
52,"[29, 28]"
53,[29]
54,[29]
55,[29]
56,[29]
57,[59]
58,"[29, 94]"
59,"[55, 98]"
60,"[91, 45]"
61,"[55, 45]"
62,[91]
63,[29]
64,[39]
65,[1]
66,[1]
67,[1]
68,[1]
69,[39]
70,[27]
71,[39]
72,"[39, 98]"
73,"[39, 94]"
74,"[39, 94]"
75,"[39, 101]"
76,"[39, 101]"
77,"[39, 66]"
78,"[44, 66]"
79,[44]
80,[44]
81,[44]
82,"[65, 27]"
83,"[65, 67]"
84,"[65, 67]"
85,"[65, 27]"
86,"[65, 27]"
87,[91]
88,[91]
89,[91]
90,[91]
91,[65]
92,[65]
93,[65]
94,[65]
95,[91]
96,[91]
97,[91]
98,[91]
99,[65]
100,[65]
101,[65]
102,[65]
103,[91]
104,[91]
105,[91]
106,[91]
107,[65]
108,[65]
109,[65]
110,"[65, 86]"
111,"[65, 86]"
112,"[65, 86]"
113,"[65, 86]"
114,"[65, 86]"
115,"[25, 86]"
116,"[25, 86]"
117,"[25, 86]"
118,"[25, 74]"
119,"[25, 74]"
120,"[65, 59]"
121,[65]
122,[91]
123,[91]
124,[91]
125,[65]
126,[65]
127,"[75, 65]"
128,"[75, 65]"
129,"[75, 65]"
130,"[65, 75]"
131,"[65, 75]"
132,"[65, 14]"
133,"[65, 68]"
134,"[65, 14]"
135,"[65, 14]"
136,"[65, 14]"
137,[65]
138,[65]
139,[65]
140,"[91, 65]"
141,"[91, 65]"
142,[65]
143,[65]
144,[65]
145,[65]
146,"[91, 65]"
147,[91]
148,[65]
149,[65]
150,[25]
151,[65]
152,[65]
153,[65]
154,[65]
155,[65]
156,[3]
157,[65]
158,[91]
159,[91]
160,[65]
161,[55]
162,[3]
163,"[65, 22]"
164,"[65, 22]"
165,"[65, 22]"
166,"[65, 22]"
167,[65]
168,[65]
169,[65]
170,[65]
171,"[3, 14]"
172,"[96, 68]"
173,"[3, 68]"
174,"[26, 14]"
175,"[39, 78]"
176,"[65, 78]"
177,"[65, 78]"
178,"[96, 78]"
179,[96]
180,[39]
181,[39]
182,[27]
183,"[27, 99]"
184,"[96, 99]"
185,"[96, 99]"
186,[39]
187,[65]
188,[65]
189,[65]
190,[65]
191,[65]
192,[65]
193,[65]
194,[2]
195,[37]
196,[40]
197,[44]
198,[44]
199,[44]
