exercise,exercise_diff
1,0.79
2,0.65
3,0.66
4,0.73
5,0.74
6,0.77
7,0.69
8,0.82
9,0.71
10,0.55
11,0.83
12,0.79
13,0.66
14,0.74
15,0.82
16,0.72
17,0.76
18,0.71
19,0.73
20,0.7
21,0.65
22,0.69
23,0.82
24,0.72
25,0.63
26,0.46
27,0.51
28,0.42
29,0.81
30,0.64
31,0.73
32,0.82
33,0.82
34,0.79
35,0.76
36,0.66
37,0.88
38,0.91
39,0.77
40,0.75
41,0.54
42,0.78
43,0.73
44,0.74
45,0.52
46,0.6
47,0.52
48,0.78
49,0.67
50,0.73
51,0.64
52,0.53
53,0.38
54,0.27
55,0.59
56,0.86
57,0.67
58,0.65
59,0.59
60,0.87
61,0.5
62,0.5
63,0.5
64,0.57
65,0.88
66,0.75
67,0.77
68,0.83
69,0.69
70,0.71
71,0.87
72,0.83
73,0.82
74,0.78
75,0.8
76,0.84
77,0.54
78,0.63
79,0.68
80,0.56
81,0.64
82,0.78
83,0.79
84,0.53
85,0.63
86,0.68
87,0.49
88,0.62
89,0.68
90,0.85
91,0.9
92,0.78
93,0.79
94,0.67
95,0.68
96,0.71
97,0.59
98,0.66
99,0.52
100,0.39
101,0.61
102,0.82
103,0.83
104,0.78
105,0.68
106,0.59
107,0.47
108,0.33
109,0.48
110,0.67
111,0.35
112,0.29
113,0.52
114,0.38
115,0.49
116,0.67
117,0.37
118,0.4
119,0.25
120,0.62
121,0.31
122,0.33
123,0.26
124,0.33
125,0.62
126,0.51
127,0.61
128,0.6
129,0.35
130,0.44
131,0.67
132,0.79
133,0.42
134,0.47
135,0.73
136,0.74
137,0.87
138,0.84
139,0.45
140,0.71
141,0.29
142,0.61
143,0.45
144,0.58
145,0.62
146,0.32
147,0.71
148,0.5
149,0.53
150,0.7
151,0.38
152,0.63
153,0.52
154,0.37
155,0.69
156,0.57
157,0.53
158,0.58
159,0.93
160,0.78
161,0.65
162,0.76
163,0.63
164,0.44
165,0.49
166,0.53
167,0.56
168,0.69
169,0.77
170,0.82
171,0.72
172,0.6
173,0.52
174,0.39
175,0.65
176,0.58
177,0.62
178,0.53
179,0.58
180,0.57
181,0.68
182,0.57
183,0.45
184,0.7
185,0.49
186,0.57
187,0.6
188,0.09
189,0.73
190,0.46
191,0.64
192,0.68
193,0.63
194,0.7
195,0.47
196,0.68
197,0.88
198,0.73
199,0.79
200,0.42
201,0.62
202,0.64
203,0.7
204,0.51
205,0.47
206,0.59
207,0.65
208,0.63
209,0.44
210,0.52
211,0.5
212,0.46
213,0.34
214,0.68
215,0.71
216,0.68
217,0.89
218,0.54
219,0.54
220,0.52
221,0.59
222,0.68
223,0.61
224,0.8
225,0.79
226,0.69
227,0.76
228,0.69
229,0.6
230,0.7
231,0.51
232,0.67
233,0.56
234,0.62
235,0.64
236,0.62
237,0.74
238,0.5
239,0.61
240,0.5
241,0.89
242,0.73
243,0.81
244,0.77
245,0.8
246,0.47
247,0.64
248,0.65
249,0.55
250,0.89
251,0.71
252,0.75
253,0.84
254,0.34
255,0.71
256,0.58
257,0.76
258,0.54
259,0.56
260,0.61
261,0.61
262,0.69
263,0.7
264,0.71
265,0.79
266,0.77
267,0.68
268,0.58
269,0.67
270,0.45
271,0.48
272,0.64
273,0.65
274,0.8
275,0.64
276,0.44
277,0.78
278,0.54
279,0.31
280,0.52
281,0.75
282,0.59
283,0.71
284,0.62
285,0.63
286,0.66
287,0.65
288,0.59
289,0.6
290,0.56
291,0.72
292,0.37
293,0.61
294,0.58
295,0.51
296,0.53
297,0.52
298,0.62
299,0.42
