student,bear_diff
1,0.48
2,0.47
3,0.4
4,0.42
5,0.3
6,0.27
7,0.3
8,0.36
9,0.3
10,0.32
11,0.4
12,0.44
13,0.37
14,0.33
15,0.28
16,0.34
17,0.34
18,0.33
19,0.28
20,0.25
21,0.44
22,0.42
23,0.47
24,0.46
25,0.4
26,0.35
27,0.3
28,0.5
29,0.28
30,0.47
31,0.43
32,0.47
33,0.48
34,0.45
35,0.46
36,0.45
37,0.41
38,0.41
39,0.46
40,0.32
41,0.35
42,0.47
43,0.46
44,0.24
45,0.47
46,0.45
47,0.28
48,0.4
49,0.39
50,0.47
51,0.42
52,0.37
53,0.34
54,0.45
55,0.38
56,0.47
57,0.45
58,0.35
59,0.31
60,0.47
61,0.25
62,0.42
63,0.42
64,0.43
65,0.4
66,0.43
67,0.43
68,0.35
69,0.5
70,0.41
71,0.31
72,0.3
73,0.25
74,0.45
75,0.26
76,0.5
77,0.32
78,0.45
79,0.47
80,0.46
81,0.32
82,0.46
83,0.35
84,0.36
85,0.4
86,0.44
87,0.45
88,0.48
89,0.47
90,0.47
91,0.41
92,0.27
93,0.46
94,0.46
95,0.47
96,0.47
97,0.38
98,0.31
99,0.47
100,0.31
101,0.35
102,0.47
103,0.31
104,0.47
105,0.45
106,0.36
107,0.39
108,0.47
109,0.39
110,0.44
111,0.24
112,0.5
113,0.4
114,0.44
115,0.46
116,0.47
117,0.35
118,0.38
119,0.45
120,0.5
121,0.38
122,0.33
123,0.26
124,0.47
125,0.47
126,0.46
127,0.46
128,0.47
129,0.39
130,0.48
131,0.34
132,0.42
133,0.38
134,0.25
135,0.33
136,0.46
137,0.43
138,0.46
139,0.39
140,0.46
141,0.41
142,0.46
143,0.24
144,0.35
145,0.32
146,0.46
147,0.47
148,0.5
149,0.43
150,0.47
151,0.46
152,0.47
153,0.46
154,0.48
155,0.47
156,0.47
157,0.45
158,0.45
159,0.41
160,0.45
161,0.44
162,0.48
163,0.46
164,0.46
165,0.5
166,0.39
167,0.31
168,0.47
169,0.49
170,0.5
171,0.46
172,0.44
173,0.47
174,0.41
175,0.35
176,0.38
177,0.41
178,0.36
179,0.43
