student,bear_diff
1,0.45
2,0.4
3,0.32
4,0.38
5,0.34
6,0.33
7,0.38
8,0.33
9,0.33
10,0.33
11,0.44
12,0.28
13,0.48
14,0.37
15,0.44
16,0.47
17,0.34
18,0.29
19,0.35
20,0.5
21,0.35
22,0.31
23,0.39
24,0.36
25,0.32
26,0.35
27,0.36
28,0.39
29,0.33
30,0.3
31,0.35
32,0.36
33,0.32
34,0.4
35,0.33
36,0.35
37,0.36
38,0.38
39,0.32
40,0.52
41,0.36
42,0.46
43,0.45
44,0.43
45,0.32
46,0.34
47,0.43
48,0.4
49,0.32
50,0.3
51,0.31
52,0.37
53,0.32
54,0.25
55,0.32
56,0.32
57,0.44
58,0.34
59,0.38
60,0.41
61,0.35
62,0.43
63,0.4
64,0.45
65,0.42
66,0.42
67,0.36
68,0.39
69,0.41
70,0.31
71,0.44
72,0.34
73,0.36
74,0.45
75,0.34
76,0.35
77,0.33
78,0.45
79,0.34
80,0.3
81,0.36
82,0.38
83,0.34
84,0.34
85,0.33
86,0.37
87,0.36
88,0.29
89,0.4
90,0.3
91,0.41
92,0.35
93,0.37
94,0.34
95,0.33
96,0.39
97,0.44
98,0.31
99,0.36
100,0.37
101,0.37
102,0.39
103,0.36
104,0.43
105,0.38
106,0.35
107,0.42
108,0.35
109,0.39
110,0.34
111,0.4
112,0.41
113,0.37
114,0.39
115,0.37
116,0.34
117,0.27
118,0.38
119,0.39
120,0.37
121,0.31
122,0.38
123,0.32
124,0.31
125,0.31
126,0.41
127,0.4
128,0.43
129,0.35
130,0.36
131,0.34
132,0.39
133,0.34
134,0.36
135,0.44
136,0.39
137,0.28
138,0.32
139,0.38
140,0.42
141,0.36
142,0.42
143,0.45
144,0.37
145,0.38
146,0.36
147,0.29
148,0.39
149,0.3
150,0.43
151,0.46
152,0.48
153,0.33
154,0.45
155,0.4
156,0.47
157,0.39
158,0.42
159,0.4
160,0.32
161,0.41
162,0.45
163,0.33
164,0.48
165,0.39
166,0.46
167,0.5
168,0.34
169,0.43
170,0.38
171,0.44
172,0.34
173,0.47
174,0.35
175,0.35
176,0.36
177,0.33
178,0.43
179,0.41
180,0.34
181,0.38
182,0.41
183,0.38
184,0.22
185,0.35
186,0.39
187,0.32
188,0.38
189,0.36
190,0.34
191,0.33
192,0.35
193,0.31
194,0.37
195,0.42
196,0.37
197,0.37
198,0.44
199,0.4
200,0.38
201,0.41
202,0.42
203,0.4
204,0.33
205,0.45
206,0.43
207,0.4
208,0.34
209,0.38
210,0.4
211,0.37
212,0.3
213,0.32
214,0.38
215,0.43
216,0.39
217,0.36
218,0.33
219,0.42
220,0.39
221,0.34
222,0.26
223,0.34
224,0.35
225,0.44
226,0.42
227,0.39
228,0.44
229,0.37
230,0.38
231,0.38
232,0.36
233,0.36
234,0.43
235,0.41
236,0.41
237,0.48
238,0.32
239,0.43
240,0.36
241,0.3
242,0.28
243,0.36
244,0.36
245,0.4
246,0.38
247,0.33
248,0.38
249,0.31
250,0.43
251,0.33
252,0.35
253,0.38
254,0.34
255,0.41
256,0.37
257,0.4
258,0.41
259,0.37
260,0.41
261,0.38
262,0.32
263,0.36
264,0.33
265,0.33
266,0.32
267,0.35
268,0.32
269,0.35
270,0.29
271,0.37
272,0.37
273,0.38
274,0.36
275,0.35
276,0.33
277,0.36
278,0.41
279,0.4
280,0.34
281,0.33
282,0.35
283,0.41
284,0.37
285,0.29
286,0.35
287,0.35
288,0.32
289,0.35
290,0.43
291,0.4
292,0.32
293,0.35
294,0.3
295,0.29
296,0.33
297,0.36
298,0.4
299,0.33
300,0.4
301,0.36
302,0.36
303,0.41
304,0.38
305,0.37
306,0.39
307,0.39
308,0.39
309,0.27
310,0.44
311,0.42
312,0.29
313,0.46
314,0.3
315,0.34
316,0.35
317,0.34
318,0.34
319,0.28
320,0.35
321,0.38
322,0.37
323,0.41
324,0.42
