student,exercise
1,"[6, 9, 10, 15, 18, 20]"
2,"[19, 20, 4]"
3,"[8, 10, 14, 17, 19, 20]"
4,"[10, 19, 12, 6]"
5,"[16, 17, 6]"
6,[18]
7,"[7, 10, 11, 14, 17, 19, 20]"
8,"[6, 10, 12, 16, 19]"
9,"[16, 18, 10, 6]"
10,"[9, 10, 11, 15, 16, 18, 19, 20]"
11,"[7, 10, 14, 15, 17, 18, 19, 20]"
12,"[1, 9, 10, 15, 16, 18, 19, 20]"
13,"[6, 7, 10, 15, 16, 19, 20]"
14,"[1, 10, 14, 16, 20]"
15,"[4, 7, 10, 11, 12, 15]"
16,"[10, 19, 14]"
17,"[10, 12, 15, 18, 19, 20]"
18,"[6, 10, 14, 15, 16, 19, 20]"
19,"[10, 11, 14, 15, 19, 20]"
20,"[7, 12, 14, 15, 19]"
21,"[17, 10, 20, 15]"
22,"[1, 6, 10, 15, 16, 18, 19, 20]"
23,"[4, 8, 10, 14, 15, 17, 19, 20]"
24,"[20, 7]"
25,"[6, 9, 11, 15, 18, 19, 20]"
26,"[16, 10, 15]"
27,"[2, 6, 9, 10, 12, 15, 19, 20]"
28,"[7, 8, 10, 14, 15, 17, 19, 20]"
29,"[6, 9, 15, 18, 19, 20]"
30,"[2, 6, 9, 10, 12, 15, 19, 20]"
31,"[6, 10, 15, 17, 18, 19, 20]"
32,"[1, 4, 8, 10, 15]"
33,"[10, 11, 12, 15, 19, 20]"
34,"[6, 9, 10, 12, 15, 16, 20]"
35,"[6, 10, 12, 15, 18, 19, 20]"
36,"[9, 10, 11, 15, 16, 18, 19, 20]"
37,"[7, 10, 14, 15, 17, 19, 20]"
38,"[4, 8, 10, 14, 15, 17, 19, 20]"
39,"[1, 8, 10, 15, 18, 20]"
40,"[6, 7, 10, 11, 12, 15, 16, 19]"
41,"[1, 4, 10, 15, 16, 19, 20]"
42,"[2, 6, 7, 9, 10, 19, 20]"
43,"[5, 6, 7, 10, 12, 19, 20]"
44,"[4, 7, 8, 10, 14, 15, 17, 19]"
45,"[9, 10, 12, 15, 16, 18, 19, 20]"
46,"[6, 9, 10, 12, 19]"
47,"[1, 6, 10, 18, 19, 20]"
48,"[18, 19, 4, 20]"
49,"[16, 9, 10]"
50,"[16, 9]"
51,"[1, 9, 10, 15, 16, 18]"
52,"[4, 8, 10, 14, 17, 19]"
53,"[6, 14]"
54,"[16, 20, 12, 15]"
55,"[6, 8, 10, 14, 15, 17, 19, 20]"
56,"[8, 20]"
57,"[4, 8, 10, 14, 15, 17, 19]"
58,"[19, 20]"
59,"[2, 6, 9, 10, 15, 18, 19, 20]"
60,"[12, 15, 6, 7]"
61,"[4, 8, 10, 17, 19]"
62,"[2, 6, 9, 10, 15, 18, 19, 20]"
63,"[6, 9, 15, 19, 20]"
64,"[2, 10, 16, 19, 20]"
65,"[6, 7, 9, 10, 15]"
66,"[4, 8, 10, 14, 15, 17, 19, 20]"
67,"[1, 9, 10, 15, 16, 18, 19, 20]"
68,"[2, 9, 10, 15, 18, 19, 20]"
69,"[17, 20]"
70,[19]
71,"[6, 7, 10, 15, 16, 18, 19, 20]"
72,"[4, 8, 10, 14, 15, 17, 19]"
73,"[6, 8, 14, 17, 19, 20]"
74,"[7, 9, 15, 16, 19, 20]"
75,"[9, 10, 19, 6]"
76,"[6, 10, 14, 15, 17, 18, 19, 20]"
77,"[1, 10, 15, 16, 20]"
78,"[1, 6, 15, 16, 18, 19, 20]"
79,"[8, 10, 14, 15, 17, 19, 20]"
80,"[1, 10, 14, 15, 16, 19, 20]"
81,"[6, 9, 10, 12, 15, 18, 20]"
82,"[1, 10, 19, 15]"
83,"[9, 10, 15, 16, 18, 19, 20]"
84,"[4, 9, 10, 11, 15, 18, 19, 20]"
85,"[6, 10, 15, 16, 19]"
86,"[6, 7, 9, 10, 15, 18, 19, 20]"
87,"[1, 4, 8, 10, 15, 17]"
88,"[8, 10, 14]"
89,"[6, 10, 11, 15, 16, 19]"
90,"[6, 9, 10, 16, 18, 19]"
91,"[6, 9, 10, 11, 15, 18, 19, 20]"
92,"[6, 9, 10, 15, 16, 18, 19, 20]"
93,"[6, 8, 10, 14, 15, 17, 20]"
94,"[1, 6, 15, 16, 19]"
95,"[6, 9, 10, 12, 15, 16, 19, 20]"
96,"[1, 4, 8, 10, 14, 15, 20]"
97,"[7, 10, 15, 16, 18, 19, 20]"
98,"[16, 18]"
99,"[4, 8, 10, 14, 15, 17, 19, 20]"
100,[19]
101,"[5, 6, 10, 12, 15, 16, 19, 20]"
102,"[1, 10, 15, 16, 17, 20]"
103,"[6, 9, 10, 12, 15, 16, 19]"
104,"[8, 15, 16, 17, 20]"
105,"[1, 14, 15, 16, 19, 20]"
106,"[16, 19, 12, 6]"
107,"[4, 8, 10, 15, 17, 19]"
108,"[3, 9, 10, 19, 20]"
109,"[1, 4, 8, 14, 15, 19, 20]"
110,"[6, 10, 11, 15, 17, 18, 19, 20]"
111,"[6, 9, 10, 16, 18, 19, 20]"
112,"[16, 9, 1]"
113,"[8, 10, 15]"
114,"[16, 10, 20, 15]"
115,"[6, 9, 10, 15, 18]"
116,"[2, 9, 10, 15, 18, 19, 20]"
117,"[4, 8, 10, 14, 15, 17, 19, 20]"
118,[10]
119,"[1, 7, 10, 14, 17, 19]"
120,"[6, 7, 9, 10, 19, 20]"
121,"[10, 15, 16, 18, 19, 20]"
122,"[1, 7, 16, 18, 19, 20]"
123,"[4, 8, 10, 14, 19]"
124,"[6, 15, 17, 19, 20]"
125,"[17, 19]"
126,"[6, 10, 12, 14, 15, 17, 19, 20]"
127,"[6, 9, 10, 16, 18, 19, 20]"
128,"[1, 9, 11, 15, 19]"
129,"[18, 19]"
130,"[6, 9, 10, 15, 16, 19, 20]"
131,"[6, 9, 10, 15, 17, 18, 19, 20]"
132,"[6, 8, 10, 14, 15, 20]"
133,"[10, 11, 13, 15, 18, 19, 20]"
134,"[6, 11, 14, 15, 19, 20]"
135,"[4, 8, 10, 14, 15, 17, 19, 20]"
136,"[1, 6, 7, 15, 16]"
137,"[17, 18, 19, 6]"
138,"[1, 10, 14, 15, 16, 18, 19]"
139,"[1, 9, 15, 16, 19]"
140,"[1, 6, 10, 15, 16, 17, 19, 20]"
141,"[2, 6, 10, 15, 18, 19, 20]"
142,"[1, 6, 9, 10, 15, 16, 19, 20]"
143,"[14, 15, 17, 19, 20]"
144,"[9, 10, 12, 15, 20]"
145,"[7, 10, 15, 16, 20]"
146,"[6, 10, 14, 15, 19, 20]"
147,"[2, 9, 10, 15, 18, 19, 20]"
148,"[6, 9, 10, 15, 18, 19, 20]"
149,"[1, 6, 15, 16, 18, 19, 20]"
150,"[16, 9, 20, 1]"
151,"[1, 4, 8, 10, 11, 15, 17, 20]"
152,"[2, 5, 10, 12, 19, 20]"
153,"[6, 9, 10, 12, 19, 20]"
154,"[19, 15]"
155,"[1, 6, 10, 15, 16, 18]"
156,"[5, 6, 7, 10, 12, 15, 16, 19]"
157,"[6, 9, 10, 16, 19]"
158,"[6, 7, 9, 10, 12, 15, 19, 20]"
159,"[2, 6, 9, 15, 18, 19, 20]"
160,[10]
161,"[16, 10, 20, 7]"
162,"[6, 7, 10, 11, 12, 15, 19, 20]"
163,"[6, 8, 10, 14, 15, 17, 20]"
164,"[10, 20, 6, 7]"
165,"[7, 10, 14, 15, 17, 19, 20]"
166,"[6, 7, 10, 12, 15, 19, 20]"
167,"[1, 7, 10, 15, 16, 19, 20]"
168,"[9, 18, 6]"
169,"[7, 9, 10, 12, 15, 19, 20]"
170,"[1, 7, 15, 16, 18, 19, 20]"
171,"[1, 6, 9, 10, 15, 16, 19, 20]"
172,"[6, 8, 10, 14, 15, 17, 19, 20]"
173,"[1, 10, 12, 19, 20]"
174,"[1, 15]"
175,"[1, 6, 10, 15, 16, 18, 19, 20]"
176,"[1, 9, 10, 15, 16, 18, 19, 20]"
177,"[6, 15, 16, 18, 19, 20]"
178,"[2, 6, 7, 9, 10, 15, 19, 20]"
179,"[6, 7, 10, 15, 16, 19]"
180,[10]
181,"[6, 7, 10, 15, 20]"
182,"[6, 7, 9, 10, 15, 19, 20]"
183,[7]
184,"[6, 10, 14, 15, 17, 19, 20]"
185,"[9, 10, 13, 15, 18, 19, 20]"
186,"[8, 10, 14, 17, 19]"
187,"[6, 8, 10, 14, 15, 17, 19, 20]"
188,"[1, 6, 10, 15, 16, 20]"
189,"[4, 8, 14, 15, 17, 19, 20]"
190,"[4, 10, 14, 15, 19, 20]"
191,"[9, 19, 20]"
192,"[2, 7, 9, 10, 15, 18, 19]"
193,"[6, 9, 10, 16, 18, 19, 20]"
194,"[10, 11, 14, 15, 16, 18, 19, 20]"
195,"[1, 6, 10, 15, 18, 19]"
196,"[6, 10, 15, 16, 18, 19, 20]"
197,"[10, 20, 15]"
198,"[16, 1, 19]"
199,"[2, 6, 9, 10, 12, 15, 19, 20]"
200,"[1, 9, 10, 11, 15, 18, 19, 20]"
201,"[7, 9, 10, 11, 15, 16, 19]"
202,"[6, 9, 10, 15, 16, 18, 19, 20]"
203,"[2, 6, 9, 10, 20]"
